,full_name,customer_id,branch_id,branch,birthdate,father_name,loan_superviser_id,bc_id,bc_serial,postal_code,phone_number,cell_phone
89,Benjamin Gassoway,10129260,70929,Barnett,1962-01-07,Jerry,57817,9274433849,08l653281,4569246008,074-44442134,09256671421
90,Jessie Hunter,51415660,57711,Ellison,1932-04-14,Patrick,91520,376467158,95s378673,8469600126,025-00233221,09512174412
91,Laura Delcolle,50396707,97015,Allen,2012-11-23,Coy,99764,58805654,96w593803,3246861479,058-33594313,09517554298
92,Caroline Salmon,45331418,25570,Mauldin,1915-02-24,Jose,83623,6079,65v446035,7768315491,044-77080064,09408577983
93,Donna Wright,71636941,80163,Wiltse,1935-12-21,Byron,94814,77684331,55n571517,3331307204,083-44798818,09721909272
94,Stephanie Cummings,47933676,23240,Tomlinson,1962-08-25,Kevin,71275,08486775,48c885043,0399861140,017-44638508,09218308877
95,Yolanda Reeves,47308770,31416,Moran,1945-01-03,Maurice,91877,81800207286,69a727946,7615475507,086-22990022,09660264050
96,Charles Macvane,79245454,46818,Tony,2012-04-13,Edward,69887,16684678340,81c363293,3152578376,083-44998113,09208302460
97,Milton Lynch,14216488,49988,Breeden,1977-11-24,Brian,68286,7248508,81g516195,2791648229,054-11019249,09576255057
98,Tommy Hunter,13389043,80167,Kimmons,1994-11-17,Michael,93077,7,75l150066,9670800482,066-77795106,09308639064
99,Jorge Martin,94889020,28778,Stokes,2018-08-19,Randy,62254,782803175,76v936568,1393159928,087-66353244,09897443790
100,Dennis Fields,34587142,15574,Pein,1924-01-02,Leon,3129,2,17o754535,6660741436,061-11129714,09918116950
101,Barbara Fix,22618037,17135,Mcdonald,2022-01-05,Thomas,81916,8710578627,13q170525,2496750326,013-66043007,09682481835
102,Christopher Gaskamp,17867141,79972,Burke,1902-08-26,William,56687,926,67g705987,0704756918,076-99957955,09564998522
103,Donald Nicholson,83112500,69114,Estep,1992-09-08,Jay,35503,0584348,55l073703,9787663274,021-99878314,09570425759
104,Joshua Pollack,54644309,94169,Burciaga,1901-11-17,Stevie,57126,096509,20p770793,0644892040,038-22373248,09028881994
105,Darlene Osborne,28628218,97624,Segars,1911-05-04,Michael,37015,0,10t448209,9126153466,054-55597863,09749312543
106,Paula Duckworth,71990424,95919,Castro,1993-04-12,Richard,76858,6818799,51l514819,3703906065,045-99216482,09704180129
107,Bruce Sagar,55415505,3376,Hensley,1908-07-01,Oliver,93020,584266588,55p383317,3199649809,083-11733824,09008519933
108,John Chisolm,80157409,6745,Moore,1956-01-09,Michael,63606,5,91z913460,9970681920,083-88191588,09205553627
109,Jeremy Dickenson,25901307,32091,Sullivan,2002-07-04,Thomas,26629,5,74s913430,8234227469,013-88089040,09829503724
110,Angel Sonoski,11349712,20369,Senne,1991-05-21,Carmine,51688,38329,74v143503,6322959708,031-55717895,09412487173
111,Margaret Lewis,37358559,99167,Hamilton,1914-03-07,Timothy,97295,89331,48y892333,7881688696,081-99795124,09988636483
112,Dolores Sosa,71627669,39186,Hvizdos,1905-01-26,Brad,94162,1782608333,64p432966,9943498862,013-88070030,09548404583
113,Eleanor Brown,22810310,28472,Bale,1952-02-25,Steve,546,5498,50w522628,2848549206,045-99926763,09807429856
114,Betty Fleming,20157458,5901,Rucker,2021-11-23,Martin,97549,42,49s471134,8848431886,054-66959397,09050952435
115,Robert Beasley,57179461,20811,Meehleder,1999-10-23,Isaac,23783,88,51d936441,7928431736,026-55069902,09637797923
116,Linda Kaspar,11399966,42069,Ross,1917-09-14,Richard,6013,38983717,64g790622,0160609133,066-00038019,09593902278
117,Michael Nichols,78698756,64307,Zenisek,1935-11-16,Walter,4675,9,08m268301,0214303211,045-55866717,09019072452
118,Paul Oconner,18569437,69230,Camacho,1961-12-15,Rene,700,1867816749,17m013680,1604916458,087-55049654,09681571825
119,Patrick Kuhls,66932054,82387,Sheffield,2017-06-09,Michael,33790,37,04r126470,5224842514,021-66780214,09285117131
120,Rebekah Wolf,16168007,40486,Ahn,1907-12-01,Brandon,43111,4739649,97d618957,8735807913,074-88187196,09278505368
121,Dale Ray,77149295,53964,Grant,1920-01-03,Brandon,57929,42,64u300251,0191512109,021-66479557,09090767327
122,Isabelle Williams,29270738,42303,Jose,2011-10-18,Michael,62244,478815675,90z458685,8499092972,031-66488413,09027181182
123,Christopher Cochran,86007732,72087,Amsden,2015-07-25,Henry,34237,2,21f031049,0745392897,086-11087350,09450665551
124,Michael Strickland,27909791,59839,Rasche,1964-01-27,Troy,94500,5929,71q893574,6064090173,074-66733946,09432512446
125,John Snider,22636918,93747,Roberts,1998-03-17,Scott,77498,04250,80o081992,6266433491,056-55011003,09070758503
126,Susan Horton,59871199,64748,Huot,1948-08-01,Vincent,64505,69139241246,87s228277,9503858471,026-44138534,09485024280
127,Albert Tyson,90375184,69968,Hitchcock,1997-02-11,Scott,79640,6578,87y018972,1230658289,083-22568305,09337677868
128,Juan Folger,54314520,64392,Ellis,1908-06-02,Robert,32102,97478,16r579694,6162350032,071-00950947,09424165870
129,William Verde,47255441,98095,Tyler,1958-09-16,Richard,82591,3635266,55o473241,0741166790,054-99957607,09759354944
130,Robert Brown,62028532,97340,Derks,1951-09-11,Raymond,37413,11180,62p946379,8893947755,013-00419971,09150736667
131,Lea Travillian,41275506,78174,Taylor,1979-01-01,Ernesto,20729,5,58e023029,2512732672,041-44014863,09065248388
132,Julie Holmes,26940728,28363,Klein,1976-09-22,Mike,30499,0853905,88u866789,2170839268,038-66122365,09822488593
133,Brenda Barette,62269213,65082,Machado,2021-03-08,Timmy,47858,306151249,26z505652,4527101873,017-11610204,09152837602
134,Martin Becker,48146280,28490,Carter,1934-09-08,Eugene,63927,0360374719,17z594645,2642782081,077-33492549,09776173073
135,Donald Mcwilliams,59293344,70872,Henry,1903-06-19,John,31878,8027830,10v864224,3578154873,013-33795294,09031030314
136,Gordon Kendricks,49128917,53252,May,1989-03-13,Chad,10087,3519,05x155062,3126589008,017-66247611,09601179952
137,Mary Jackson,88697584,58132,Bryant,1979-11-14,Raymond,82916,636,31g325390,0897473251,041-11391984,09037552834
138,Dorothy Eldred,25031191,24083,Heckard,1929-10-24,Julian,70208,71,03j794202,6770980651,087-55267289,09064623205
139,Laurie Gaines,15331739,26389,Martinez,1922-03-10,Steve,45229,78822407876,74a003520,8316598504,086-55974813,09933876517
140,David Howard,72921647,82452,Clark,1958-09-16,Keith,47467,4638,64m917835,9733177753,061-33609497,09939166643
141,Sandra Grant,97615367,4401,Rollag,1987-01-11,Charles,90578,6876790407,78o184425,4365752035,026-88954015,09220848506
142,Barbara Cox,59106341,50074,Reyes,1969-04-12,Frank,1004,67,19t186669,1111676743,081-55310004,09727875461
143,Vernon Smith,49897612,83694,Clement,1902-02-19,Leonard,79437,3369,05y865858,3508488322,084-11626403,09213712773
144,Harold Willard,52541904,63419,Suero,1965-11-13,Jack,82115,500429,10n022549,2057783951,084-22922477,09756535529
145,Suzette Feaster,12762999,29910,Bingham,1974-12-11,Sandy,48452,48845868,09c071691,2054345182,071-88892471,09319544346
146,Judith Eller,96179579,4442,Deleon,2007-09-04,Roy,62767,0630953051,25j959655,1903332932,087-11385421,09864397740
147,Michael Gavenda,97578487,13590,Carter,1915-04-02,Lee,88583,05696,78t047255,3370507453,077-99150954,09381742785
148,Terry Mcnamara,76057613,66512,Murphy,2001-10-09,Frederick,8732,68792,31z430988,7609345127,044-77860413,09859518268
149,Donna Brown,30949244,39182,Mcclure,1962-07-26,Warren,22027,234,29z781319,5267619126,038-22859839,09509999151
150,Daniel Miller,23708794,83843,Bishop,1998-05-06,Clarence,62764,65,91z433221,5169890799,017-22808358,09533997024
151,James Jackson,17264807,34170,Brown,1957-04-18,Carl,68793,48417537,94c601842,9070490813,028-88979708,09135661049
152,Kimberly Cunningham,29328053,13784,Freeman,1902-08-10,William,38569,6019883800,35b225231,4179661108,028-11370774,09716641823
153,Sherri Wallack,29016606,6831,Tye,2013-11-08,George,71409,52948,47l098654,0660186836,023-66408600,09409984330
154,Angelena Villagomez,39593371,72005,Schiller,1918-07-18,Timothy,94152,911537418,36w735560,9443005581,077-33190301,09783656667
155,Ellen Mickel,33497290,40714,Shelly,1921-07-21,Ronald,97336,142431663,81c910631,4656960694,058-88904875,09973680789
156,Donna Hayslip,51749422,38913,Cate,1953-10-05,Robert,44681,934317,29b421495,8966283156,086-33087350,09263684570
157,John Lighty,46543189,87037,Townsend,1970-09-13,Leonard,92159,263703,58d520827,8278043690,011-55913828,09714809595
158,Felix Thorne,61720937,70872,Maurer,1956-06-09,Randy,11924,9480035339,19q393228,2350354717,058-11690854,09238793947
159,Bret Kapinos,16454583,21975,Coward,1930-10-06,Robert,35691,8544698,12r881628,5182270638,038-33525564,09918866908
160,Sheryl Nelson,38420668,95535,Fletcher,1981-09-07,Philip,65260,01,34a245269,7404620547,031-11529667,09541458796
161,Steve Baird,21049104,72065,Foley,1921-02-08,Jason,55389,6959509,34c333941,6491298433,011-55868444,09011324668
162,Felicia Barnett,75804932,90509,Petersen,1999-10-18,James,895,8128733,73l267805,5030594109,024-11576963,09660013162
163,Martin Dellinger,43665568,82661,Jarrett,1932-03-13,Dennis,47073,1762016,62m788040,5715399416,056-22502616,09903624119
164,Tim Ricley,43308903,31290,Marsden,2005-04-09,Jason,81281,31330595798,67e308844,8336246685,086-11737192,09457391137
165,Philip Carter,90314148,22406,Callender,1991-08-28,Kevin,84717,105198,90p915116,8275837131,066-11712470,09491136036
166,Wilma Carlson,67559019,64034,Martel,1929-06-21,Emil,53776,24497688,91o720747,5888825354,086-22024792,09924592076
167,Richard Parise,55369619,91501,Baird,1927-03-01,Michael,56520,8072,41c619819,3497288043,024-55171531,09617615412
168,Charles Velez,81266003,11671,Harris,1942-09-13,Fritz,9813,798,28c336269,4365321798,011-99341023,09838962498
169,Lloyd Zwolinski,50524748,21378,Groves,1975-03-19,Adolfo,150,67502269,82z708374,9241849963,054-88987955,09657014863
170,Lena Hayes,44926359,47108,Garvie,1952-04-25,Gary,32402,8476952,70m703550,9173694602,087-77096315,09565016504
171,Richard Ramirez,16458898,85511,Stephens,1939-04-15,Alexander,80302,0042414648,00g240099,5045146480,086-11446759,09435267920
172,Mollie Alvarez,87787140,72744,Davis,1998-09-28,Jack,70049,3539,86h612667,0492761793,083-55124239,09346361438
173,Lisa Biggs,96598748,3681,Whorton,1935-11-04,John,87576,2,74m976543,3682037700,031-44682660,09575510448
174,Walter Smith,80473566,38996,Mcneil,1934-04-22,Stanley,22760,012,55h089008,4105348666,034-77744367,09592220150
175,Elenore Gilbert,42782208,51363,Barnett,1940-12-16,Joseph,95313,8,67a950107,1395431040,051-88159209,09919054162
176,Daniel William,72273797,25184,Dearing,1975-09-04,Dewey,18663,5,95f199321,8724977599,066-99201629,09262499129
177,Sandra Stevenson,95283088,8624,Clapp,2011-10-20,Dale,50401,80937,52j588130,7862649721,044-33629455,09183177108
178,Richard Haas,89415994,41446,Fine,2004-12-01,Milton,87218,6447724,49v059080,3496561707,011-22066282,09783089289
179,Rita Craycraft,72373760,77480,Hamilton,1918-06-12,John,66086,920598549,29w929202,8368521749,061-22315368,09464381280
180,Perla Simple,82397996,10901,Llamas,1969-04-05,John,30822,83075397898,45m215357,2749326910,054-11671891,09071648983
181,William Terry,52848175,21154,Harvey,1928-05-16,Bradley,32194,6305505,89b630208,5544072202,087-11775196,09490597877
182,William Austin,59635683,13774,Roberts,1960-02-25,Robert,99121,196664018,17e559627,6573820412,058-55119648,09281319067
183,Tanya Kennedy,39443342,51736,Pritchard,1909-10-14,Leonard,19120,890498,33w498078,3210879719,026-00106334,09043261872
184,Sheila Erb,44312499,40508,Hopkins,1949-12-18,Leslie,16989,896886,34y472035,8866110533,028-55207057,09768565395
185,Mark Williams,93656349,96107,Melendez,1925-01-14,Louis,35785,6507,07l256100,5412981341,045-22813345,09685615687
186,Justin Catalan,95241069,79107,Lamb,1929-12-18,Frederick,96035,910913,93u033384,4786028071,081-11963469,09855829936
187,Brandon Raad,97343097,66512,Garza,2014-06-27,Eddie,83513,50076670850,12t506685,9170232925,056-77700511,09015557966
188,Angel Danos,25559401,76450,Jones,2003-06-23,Spencer,54002,777546668,28e385440,3801271626,071-55657299,09569560995
189,Tyrell Moye,17027485,58978,Fain,1995-05-20,Michael,59384,77736383,40z579415,2031734287,025-00245196,09621276952
190,Rose Gonzalez,69089241,94744,Soto,1977-01-12,Paul,5188,772375098,77a624319,5181211254,074-44859481,09168289962
191,Jennifer Oskins,18735496,56822,Duke,1954-11-03,Jesus,76376,80155,51m843962,5705247381,054-66594830,09053422576
192,Chase Walston,72916747,47382,Cahal,1921-04-07,Rodolfo,42546,464426543,61e920415,2897474990,034-88601107,09258020452
193,Margaret Birchall,80725314,76555,Duteau,1962-12-06,Samuel,31862,55721765,68x901911,7048706317,058-22710979,09860728903
194,Jacqueline Taylor,37263675,11096,Quintana,1994-07-26,Stanley,9448,2993856,43s761699,8125803638,056-99103200,09473686361
195,Beverly Romero,43611045,14837,Lanser,1990-10-09,Norman,88436,23,68v478644,7017698366,026-66611687,09702839294
196,Sarah Odom,39816914,12041,Welch,1970-06-24,Melvin,19037,931375,69q906132,4906522882,061-33601030,09723359436
197,Andres Kuhl,25903194,35298,White,1907-02-01,Brian,22575,8,21n986565,1898158965,045-77398356,09847373543
198,Adan Jackson,34112657,6278,Cervantes,1947-06-12,Raymond,97542,228,52u884534,9678954445,083-99654896,09486106933
199,Jill Montoya,35102998,52861,Seager,1932-02-05,Jimmy,95262,2791830,11k584840,9595657197,031-99750967,09366799614
200,Jody Sanders,21339026,9959,Ramirez,1958-12-09,Richard,63424,8972,15w764248,3219042403,045-77362277,09729568758
201,Angel Bungard,28014747,36409,Moore,1901-08-20,Martin,64087,609,95p351381,3109456119,066-33827608,09538209173
202,Mary Bogart,75534592,23334,Mitchell,1969-03-12,Irving,85428,993,40y130334,8077131426,056-22845293,09880960349
203,Johnny Grado,78448301,47972,Miller,1931-04-17,Ronald,48329,9462490,73n738549,9444438606,083-00361250,09524145126
204,Adele Sheldon,26303365,68160,Ohta,1999-10-23,John,69805,6818,68h952550,3586082493,044-88700647,09420511800
205,Daniel Adkison,37853484,70738,Nguyen,1943-09-16,Richard,78949,950,63q512330,9239128902,011-11667660,09721104806
206,Jose Arroyo,38076953,29551,Yee,1919-02-23,Daniel,99108,1885,52n304838,1870882106,026-55236085,09785247321
207,Gabriella Howes,90200695,52263,Foreman,1927-01-05,Jerry,11278,34,53u629246,3902248328,021-44787545,09009382824
208,James Billman,70790071,34817,Carr,1966-04-07,Dustin,96332,762385713,56d559526,2014815940,045-00011266,09801027142
209,Lura Tyson,68375785,66665,Davis,1961-09-12,Cody,93611,515522,68n139209,6483312744,044-33408348,09302918439
210,Ronald Schmidt,36008193,3278,Miller,1955-08-07,Willis,86577,7416,95l548784,2170644994,028-44078870,09922875082
211,Fred Rozell,14017980,84616,Velasquez,1939-09-06,Arthur,24202,9991576,80o077528,1644775828,025-00214168,09889236641
212,Guadalupe Golish,91555660,16782,Serviss,1945-06-18,Brian,80705,5,75j115532,6984621275,077-22185088,09490694640
213,Vincent Levy,46458232,46149,Parks,1924-08-03,Philip,85081,94646909,09i826597,3286606466,013-00875306,09202389676
214,Jeff Maxson,15405735,46618,Mortensen,1915-05-25,Emery,49685,882270,88s488526,1047333196,051-33444587,09664243614
215,Wayne Massa,48129889,50572,Curtis,1983-10-01,Michael,58320,7120712475,23i253254,9510612405,051-66373423,09823009621
216,Donna Ford,49402227,59700,Tsai,1909-05-08,Clifford,56641,920152,85s347974,9369699513,038-22885849,09690929447
217,Virginia Green,27075211,28617,Hall,1983-12-14,Jeffery,84785,29789,94e696836,1642590497,086-99684523,09588127347
218,William Novack,35950489,67705,Cowan,1910-02-21,William,56805,202130,81d767764,1779659806,076-99606607,09979836798
219,Helen Beiler,41269000,8567,Tarver,1900-01-04,Joey,11943,3287709903,88r593817,5052751146,083-33288260,09959117517
220,Paul Jones,70218839,41698,Smith,1916-03-10,Matthew,57102,6,73v869948,9975903304,056-88491895,09079774445
221,Joseph Fields,32315552,89376,Arrington,1986-06-18,Matthew,88138,898358613,34l780747,8083175153,041-00916233,09975635280
222,Francis Walley,66904401,54290,Francois,1914-05-11,Robert,89309,2317211378,80k676409,9231745174,034-44429322,09772192135
223,Deborah Pelham,30367609,46183,Govea,2010-03-01,Bryan,35552,7205603781,99c403205,5553962190,034-44559558,09923147373
224,Scott Barnes,33931981,91687,Fischer,1928-02-09,Dion,24506,3,65x205308,7545375113,081-77175537,09200296183
225,Vivian Leedom,54214821,2015,Curry,2004-07-12,Eugene,82101,251695,11u768067,5134330246,025-88718127,09527608857
226,Edwin Anderson,69213023,50834,Edge,1983-12-22,Steve,84947,8332996762,58w017060,0590015280,038-00292075,09260470111
227,Robert Williams,86289196,54714,Farris,1965-04-23,Josue,64003,5553561222,17q576873,5911403820,028-66900412,09193128449
